Aether Vial,Modern Masters,31.47,1,31.47
Aether Vial,Darksteel,33.84,4,135.36
Badlands,Unlimited,300,1,300
Badlands,Revised,252.45,1,252.45
Bayou,Revised,295.36,2,590.72
Bloodstained Mire,Onslaught,42.75,1,42.75
Breakthrough,Torment,0.17,4,0.68
Bridge from Below,Future Sight,16.81,4,67.24
Cabal Therapy,Judgment,2.89,4,11.56
Careful Study,Odyssey,0.81,4,3.24
Cavern of Souls,Avacyn Restored,59.68,1,59.68
Cavern of Souls (Foil),Avacyn Restored,168.57,1,168.57
Cephalid Coliseum,FTV: Realms,4.58,2,9.16
Cephalid Coliseum,Odyssey,2.78,2,5.56
City of Brass,Arabian Nights,461.5,2,923
City of Brass,8th Edition,7.61,2,15.22
Dread Return,Time Spiral,1.65,3,4.95
Flooded Strand,Onslaught,33.58,3,100.74
Force of Will,Alliance,76.03,2,152.06
Gemstone Mine,Weatherlight,14.91,4,59.64
Golgari Grave-Troll,Ravnica: City of Guilds,2.61,4,10.44
Golgari Thug,Ravnica: City of Guilds,2.72,3,8.16
Ichorid,Torment,0.63,3,1.89
Island,Unglued,7.55,2,15.1
Island (Foil),Unhinged,70,1,70
Lord of Atlantis,Unlimited,27,1,27
Lord of Atlantis,Revised,7.71,3,23.13
Misty Rainforest,Zendikar,50.32,4,201.28
Mutavault,Morningtide,14.12,3,42.36
Narcomoeba,Future Sight,2.16,4,8.64
Plains (Foil),Unhinged,36.54,1,36.54
Plateau,Revised,144.36,1,144.36
Putrid Imp,Torment,0.32,4,1.28
Sarkhan Vol,Shards of Alara,8.63,1,8.63
Savannah,Unlimited,156.29,1,156.29
Scrubland,Revised,193.17,1,193.17
Stinkweed Imp,Ravnica: City of Guilds,1.15,4,4.6
Taiga,Revised,176.59,1,176.59
Tarnished Citadel,Odyssey,7.65,2,15.3
Tireless Tribe,Odyssey,0.2,4,0.8
Tropical Island,Revised,287.16,1,287.16
Tundra,Revised,303.26,1,303.26
Tundra,Unlimited,500,1,500
Underground Sea,Revised,600.42,1,600.42
Vindicate,Apocalypse,2.9,2,5.8
Volcanic Island,Revised,321.99,2,643.98
Wrath of God,Revised,7.89,2,15.78